ydyn.beta_q ydyn.beta_u0 ytill.z0 ytill.z1 yneff.delta
   0.991  255.630 -117.500  200.000    0.092
   0.851  294.200 -352.500  184.000    0.023
   0.704  241.130 -159.500  858.000    0.032
   0.737   99.900 -183.000  574.000    0.092
   0.037  277.960 -197.500  154.000    0.051
   0.215  175.010 -174.000  261.000    0.058
   0.372   63.360 -334.000  720.000    0.046
   0.883  168.340 -340.500  332.000    0.067
   0.835  291.590 -339.500  646.000    0.070
   0.470  181.680 -221.000  101.000    0.064
   0.759   42.190 -467.000  453.000    0.017
   0.259  171.820 -391.500  999.000    0.083
   0.726   50.020 -139.500  140.000    0.035
   0.415  244.320 -411.000  796.000    0.062
   0.086   55.240  -87.000  836.000    0.093
   0.395  128.610 -446.500  886.000    0.097
   0.848  152.680 -126.000  351.000    0.055
   0.249  155.000 -250.000  405.000    0.021
   0.675  213.290 -436.500  487.000    0.030
   0.812   65.970 -144.000  686.000    0.062
   0.472  202.850 -280.000  778.000    0.052
   0.205   14.060  -22.500  585.000    0.087
   0.742  132.670 -209.500  285.000    0.049
   0.879  209.810 -189.500  424.000    0.069
   0.657  195.600 -296.000   33.000    0.042
   0.537   51.470 -258.500  637.000    0.090
   0.584  225.470 -132.000  815.000    0.013
   0.778  245.480  -58.000  231.000    0.012
   0.120   61.330  -32.500  821.000    0.045
   0.274  197.340 -229.500  172.000    0.058
   0.115  285.790  -71.500  327.000    0.035
   0.863  230.110 -287.000  944.000    0.096
   0.153   74.380 -203.000  309.000    0.036
   0.161   38.130 -427.500  678.000    0.074
   0.079   29.140 -266.500   75.000    0.033
   0.146  297.680  -77.000   82.000    0.016
   0.607  206.040 -401.500  361.000    0.025
   0.389  289.850 -421.000  461.000    0.067
   0.367  112.080 -122.500  433.000    0.034
   0.966  120.780 -247.000  258.000    0.085
   0.442  108.890 -150.500  982.000    0.094
   0.781   16.380 -478.000  214.000    0.057
   0.324   69.450 -212.500  533.000    0.075
   0.696   32.910 -487.500  350.000    0.076
   0.684  149.780 -278.000   99.000    0.039
   0.803  271.290 -418.000  706.000    0.018
   0.666  134.990 -441.000  922.000    0.049
   0.798   90.330  -10.500  317.000    0.081
   0.714  142.240 -244.500  479.000    0.089
   0.026   79.600 -275.000  389.000    0.047
   0.235  158.190 -357.000  198.000    0.024
   0.420   39.580  -26.000  907.000    0.077
   0.094  235.040 -191.000  410.000    0.098
   0.000  275.930 -461.000  616.000    0.100
   0.049  224.310 -383.000  960.000    0.040
   0.762  101.640 -471.000  596.000    0.079
   0.947   57.560 -106.000  559.000    0.068
   0.618   93.230 -232.500  756.000    0.090
   0.170  138.760  -44.500  131.000    0.098
   0.989  191.830 -496.500  161.000    0.030
   0.517  164.860 -375.500  694.000    0.021
   0.506  116.140 -493.000  786.000    0.027
   0.296   86.850  -69.000   53.000    0.029
   0.579  219.380 -146.000  119.000    0.050
   0.554  217.060 -166.500  272.000    0.015
   0.137  257.080 -327.500  517.000    0.053
   0.896  175.590 -104.500  895.000    0.059
   0.632   71.480 -389.000  744.000    0.038
   0.647  188.060  -51.500  846.000    0.013
   0.187  105.120 -322.500  917.000    0.014
   0.500  185.450  -49.500  801.000    0.071
   0.561  210.680 -290.000  605.000    0.038
   0.939  144.560 -405.000  510.000    0.041
   0.353  200.820 -459.000    3.000    0.061
   0.305  252.440  -84.000  396.000    0.031
   0.436   20.440 -482.500  732.000    0.044
   0.312  248.960 -350.000  565.000    0.026
   0.486  118.750  -18.000  380.000    0.023
   0.920  232.140 -312.500   28.000    0.026
   0.528  269.260  -95.000  979.000    0.055
   0.622  149.200 -452.000  243.000    0.085
   0.401  259.980  -99.500  728.000    0.047
   0.109  279.990 -164.500  227.000    0.053
   0.336   47.120 -235.500  499.000    0.020
   0.592  131.220 -363.500  669.000    0.078
   0.289  180.230 -433.000  293.000    0.080
   0.543   11.160   -9.000  547.000    0.083
   0.907   24.790 -176.000  937.000    0.082
   0.061   94.970 -309.500  122.000    0.065
   0.350  125.130  -63.500  872.000    0.042
   0.261   82.790 -374.500   44.000    0.073
   0.224  262.590 -263.500   67.000    0.016
   0.192  283.470 -112.000  660.000    0.073
   0.951  161.090 -367.000   16.000    0.064
   0.010  237.940   -5.000  958.000    0.088
   0.930   35.810 -217.500  626.000    0.060
   0.821  106.280  -39.000  526.000    0.095
   0.459  267.810 -301.000  449.000    0.086
   0.979   81.630 -318.500  861.000    0.011
   0.055   23.050 -398.000  763.000    0.071
